code,name,r,g,b,白,黒,赤,黄,青,source
72-80D,,188,203,210,73,3,0,5,19,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=72&v=80&c=D
72-80H,,171,208,227,66,1,0,7,26,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=72&v=80&c=H
75-20D,,19,37,51,7,64,0,1,28,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=20&c=D
75-20L,,0,53,81,0,47,0,0,53,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=20&c=L
75-30D,,53,67,80,21,47,0,2,30,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=30&c=D
75-30H,,32,79,101,12,36,0,4,48,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=30&c=H
75-40D,,85,95,108,33,33,0,3,31,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=40&c=D
75-40H,,64,103,126,25,26,0,5,44,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=40&c=H
75-50D,,112,123,134,44,22,0,4,30,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=50&c=D
75-50H,,98,124,146,38,18,0,5,39,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=50&c=H
75-60B,,142,148,153,56,16,0,4,24,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=60&c=B
75-60D,,136,147,157,53,15,0,5,27,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=60&c=D
75-70A,,174,176,177,68,9,0,5,18,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=70&c=A
75-70B,,170,176,180,67,9,0,4,20,https://s1.toryo.or.jp/cgi-bin/SPCSS-m/search/search2.cgi?h=75&v=70&c=B
